Geo Point,Geo Shape,OBJECTID,NeworkID
"-37.8215497316, 144.95096216855","{""coordinates"": [[144.9511231617, -37.8215688856], [144.9508011754, -37.8215305776]], ""type"": ""LineString""}",67692,
"-37.8142231482, 144.9661930525","{""coordinates"": [[144.9661375968, -37.8142394312], [144.9662485082, -37.8142068652]], ""type"": ""LineString""}",67701,
"-37.828625931450006, 144.98514783835","{""coordinates"": [[144.985158302, -37.828571068], [144.9851373747, -37.8286807949]], ""type"": ""LineString""}",67709,
"-37.81298684825, 144.93861395045002","{""coordinates"": [[144.9386480643, -37.813163763], [144.9385798366, -37.8128099335]], ""type"": ""LineString""}",67722,
"-37.81158856555, 144.9713100016","{""coordinates"": [[144.9712391623, -37.8116078045], [144.9713808409, -37.8115693266]], ""type"": ""LineString""}",67724,
"-37.8109545353, 144.96320699339998","{""coordinates"": [[144.9633950421, -37.8111757547], [144.9630189447, -37.8107333159]], ""type"": ""LineString""}",67741,
"-37.7938425535, 144.96543200095","{""coordinates"": [[144.9652811035, -37.793828644], [144.9655828984, -37.793856463]], ""type"": ""LineString""}",67748,
"-37.8132831881, 144.94239111935002","{""coordinates"": [[144.9424704115, -37.8131478171], [144.9423118272, -37.8134185591]], ""type"": ""LineString""}",67753,
"-37.81557822415, 144.9645109224","{""coordinates"": [[144.9645934844, -37.8155375142], [144.9644283604, -37.8156189341]], ""type"": ""LineString""}",67773,
"-37.81599564085, 144.96425050445004","{""coordinates"": [[144.9642698195, -37.816014886], [144.9642311894, -37.8159763957]], ""type"": ""LineString""}",67778,
"-37.814573483000004, 144.9613821904","{""coordinates"": [[144.9614137314, -37.81461543], [144.9613506494, -37.814531536]], ""type"": ""LineString""}",67786,
"-37.8066834905, 144.9593662158","{""coordinates"": [[144.9592767538, -37.8064789691], [144.9594556778, -37.8068880119]], ""type"": ""LineString""}",67787,
"-37.83446987735, 144.98363080209998","{""coordinates"": [[144.9836176828, -37.8343800528], [144.9836439214, -37.8345597019]], ""type"": ""LineString""}",67795,
"-37.8042142089, 144.95343862305","{""coordinates"": [[144.953401133, -37.8042096787], [144.9534761131, -37.8042187391]], ""type"": ""LineString""}",67801,
"-37.796366916349996, 144.94269646505","{""coordinates"": [[144.9426334648, -37.7963856087], [144.9427594653, -37.796348224]], ""type"": ""LineString""}",67826,
"-37.804436621600004, 144.9532135545","{""coordinates"": [[144.9532431889, -37.804487803], [144.9531839201, -37.8043854402]], ""type"": ""LineString""}",67828,
"-37.813373318299995, 144.9902655514","{""coordinates"": [[144.9902476999, -37.8134208901], [144.9902834029, -37.8133257465]], ""type"": ""LineString""}",67831,
"-37.7967169197, 144.9679077633","{""coordinates"": [[144.9677997614, -37.796703781], [144.9680157652, -37.7967300584]], ""type"": ""LineString""}",67847,
"-37.8061963789, 144.96471415985002","{""coordinates"": [[144.964656222, -37.8061900101], [144.9647720977, -37.8062027477]], ""type"": ""LineString""}",67860,
"-37.83643835865, 144.97755557775002","{""coordinates"": [[144.9774697148, -37.8364022582], [144.9776414407, -37.8364744591]], ""type"": ""LineString""}",67866,
"-37.81453345915, 144.98740839055","{""coordinates"": [[144.9874193673, -37.8144725797], [144.9873974138, -37.8145943386]], ""type"": ""LineString""}",67871,
"-37.80486515014999, 144.96432570865","{""coordinates"": [[144.9643292372, -37.8048252295], [144.9643221801, -37.8049050708]], ""type"": ""LineString""}",67913,
"-37.795978309350005, 144.91651554015","{""coordinates"": [[144.9165062046, -37.7957954055], [144.9165248757, -37.7961612132]], ""type"": ""LineString""}",67922,
"-37.79206300125, 144.93382105364998","{""coordinates"": [[144.9339026512, -37.7920720712], [144.9337394561, -37.7920539313]], ""type"": ""LineString""}",67941,
"-37.79491222075, 144.97224608035","{""coordinates"": [[144.9722366853, -37.7949621141], [144.9722554754, -37.7948623274]], ""type"": ""LineString""}",67949,
"-37.8129754432, 144.97529576390002","{""coordinates"": [[144.9750046901, -37.8133059611], [144.9755868377, -37.8126449253]], ""type"": ""LineString""}",67958,
"-37.814587581050006, 144.95266634849997","{""coordinates"": [[144.95237808, -37.8147998676], [144.952954617, -37.8143752945]], ""type"": ""LineString""}",67963,
"-37.7923742352, 144.91991602640002","{""coordinates"": [[144.9199231099, -37.7923171201], [144.9199089429, -37.7924313503]], ""type"": ""LineString""}",67968,
"-37.796463863, 144.9350540829","{""coordinates"": [[144.9351312655, -37.7964726425], [144.9349769003, -37.7964550835]], ""type"": ""LineString""}",67973,
"-37.79337475405, 144.944927322","{""coordinates"": [[144.9450314931, -37.7933777546], [144.9448231509, -37.7933717535]], ""type"": ""LineString""}",67974,
"-37.7983104083, 144.97392493375","{""coordinates"": [[144.9739493778, -37.7983538115], [144.9739004897, -37.7982670051]], ""type"": ""LineString""}",67980,
"-37.800546393999994, 144.95101082455","{""coordinates"": [[144.9510205909, -37.8004947918], [144.9510010582, -37.8005979962]], ""type"": ""LineString""}",67985,
"-37.793526649650005, 144.91867170455","{""coordinates"": [[144.9186315041, -37.7935421265], [144.918711905, -37.7935111728]], ""type"": ""LineString""}",67991,
"-37.8025460641, 144.96131339965","{""coordinates"": [[144.961308394, -37.8025745123], [144.9613184053, -37.8025176159]], ""type"": ""LineString""}",67992,
"-37.798377462649995, 144.95019760335","{""coordinates"": [[144.9502786928, -37.798386097], [144.9501165139, -37.7983688283]], ""type"": ""LineString""}",67999,
"-37.8065453292, 144.9463139561","{""coordinates"": [[144.9462465346, -37.8066195348], [144.9463813776, -37.8064711236]], ""type"": ""LineString""}",68000,
"-37.836466502600004, 144.98411939049998","{""coordinates"": [[144.9840035587, -37.8364238414], [144.9842352223, -37.8365091638]], ""type"": ""LineString""}",68015,
"-37.794712779950004, 144.9187999906","{""coordinates"": [[144.9188666333, -37.7946744413], [144.9187333479, -37.7947511186]], ""type"": ""LineString""}",68017,
"-37.80035418525, 144.9491932381","{""coordinates"": [[144.9492056681, -37.8002971937], [144.9491808081, -37.8004111768]], ""type"": ""LineString""}",68026,
"-37.79722213245, 144.94799808285","{""coordinates"": [[144.9478918153, -37.7973038414], [144.9481043504, -37.7971404235]], ""type"": ""LineString""}",68035,
"-37.795434892, 144.97364440575","{""coordinates"": [[144.973652873, -37.7953899931], [144.9736359385, -37.7954797909]], ""type"": ""LineString""}",68054,
"-37.795823251550004, 144.91895259440003","{""coordinates"": [[144.9188869282, -37.7958471167], [144.9190182606, -37.7957993864]], ""type"": ""LineString""}",68063,
"-37.796841278399995, 144.91987233095","{""coordinates"": [[144.9198134421, -37.7968612459], [144.9199312198, -37.7968213109]], ""type"": ""LineString""}",68074,
"-37.7972093386, 144.9528007296","{""coordinates"": [[144.9528849112, -37.797263118], [144.952716548, -37.7971555592]], ""type"": ""LineString""}",68103,
"-37.8060069342, 144.94319821845","{""coordinates"": [[144.9431241369, -37.8059980983], [144.9432723, -37.8060157701]], ""type"": ""LineString""}",68108,
"-37.82390342635, 144.96326589115","{""coordinates"": [[144.963278784, -37.824042916], [144.9632529983, -37.8237639367]], ""type"": ""LineString""}",68109,
"-37.79439764715, 144.92157157115","{""coordinates"": [[144.9216940801, -37.7943271635], [144.9214490622, -37.7944681308]], ""type"": ""LineString""}",68115,
"-37.82096611055, 144.94490903205002","{""coordinates"": [[144.9447712083, -37.8209311825], [144.9450468558, -37.8210010386]], ""type"": ""LineString""}",68120,
"-37.8076174135, 144.95890078489998","{""coordinates"": [[144.958804697, -37.8075236135], [144.9589968728, -37.8077112135]], ""type"": ""LineString""}",68128,
"-37.7947124556, 144.97271524180002","{""coordinates"": [[144.972645618, -37.7947059739], [144.9727848656, -37.7947189373]], ""type"": ""LineString""}",68146,
"-37.82582096035, 144.90904070035","{""coordinates"": [[144.9088639882, -37.8257733561], [144.9092174125, -37.8258685646]], ""type"": ""LineString""}",68149,
"-37.831416493899994, 144.9872154404","{""coordinates"": [[144.9871413038, -37.8313952658], [144.987289577, -37.831437722]], ""type"": ""LineString""}",68155,
"-37.7937244758, 144.91837740245","{""coordinates"": [[144.9184198851, -37.7937709788], [144.9183349198, -37.7936779728]], ""type"": ""LineString""}",68185,
"-37.79560026915, 144.92780094915","{""coordinates"": [[144.9278527716, -37.7956570943], [144.9277491267, -37.795543444]], ""type"": ""LineString""}",68186,
"-37.798031610349994, 144.92054616265","{""coordinates"": [[144.9206018109, -37.7980925173], [144.9204905144, -37.7979707034]], ""type"": ""LineString""}",68209,
