geo_point_2d,geo_shape,electricity_provider,outage_maplink,streetlight_faults,type,rating,lightid,extracted,lga_name,longitude,latitude,suburb,ward,postcode,easting,northing,projection,gisfid,address,usage,strname
"-38.1825023814, 145.3334715768","{""coordinates"": [145.3334715768, -38.1825023814], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,HP Sodium,150.0,295491737,2024-06-07,Casey,145.33347157683087,-38.18250238140165,Devon Meadows,Cranbourne Gardens,3977,354042,5772624,MGA2020 Zone 55,41635,North Road Devon Meadows 3977,,North Road
"-38.0296653997, 145.2798049842","{""coordinates"": [145.2798049842, -38.0296653997], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,HP Sodium,250.0,266975224,2024-06-07,Casey,145.2798049842108,-38.02966539973469,Hampton Park,Waratah,3976,349027,5789498,MGA2020 Zone 55,41646,Pound Road Hampton Park 3976,,Pound Road
"-38.1246444849, 145.2426315664","{""coordinates"": [145.2426315664, -38.1246444849], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,259710347,2024-06-07,Casey,145.24263156640123,-38.124644484947936,Cranbourne South,Cranbourne Gardens,3977,345963,5778898,MGA2020 Zone 55,41656,Diplomat Crescent Cranbourne South 3977,,Diplomat Crescent
"-38.0617975275, 145.356951329","{""coordinates"": [145.356951329, -38.0617975275], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,155.0,292286631,2024-06-07,Casey,145.3569513289935,-38.06179752749972,Berwick,Akoonah,3806,355861,5786055,MGA2020 Zone 55,41677,Soldiers Road Berwick 3806,,Soldiers Road
"-38.0617975275, 145.356951329","{""coordinates"": [145.356951329, -38.0617975275], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,155.0,292286633,2024-06-07,Casey,145.3569513289935,-38.06179752749972,Berwick,Akoonah,3806,355861,5786055,MGA2020 Zone 55,41678,Soldiers Road Berwick 3806,,Soldiers Road
"-38.05973374, 145.3572429537","{""coordinates"": [145.3572429537, -38.05973374], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,155.0,292286649,2024-06-07,Casey,145.35724295370744,-38.05973374001539,Berwick,Akoonah,3806,355883,5786284,MGA2020 Zone 55,41683,Soldiers Road Berwick 3806,,Soldiers Road
"-38.1228125795, 145.370667713","{""coordinates"": [145.370667713, -38.1228125795], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,70.0,300885558,2024-06-07,Casey,145.37066771299658,-38.12281257947126,Clyde North,Dillwynia,3978,357183,5779306,MGA2020 Zone 55,41685,Watercolour Boulevar Clyde North 3978,,Watercolour Boulevar
"-38.1302659526, 145.2335034414","{""coordinates"": [145.2335034414, -38.1302659526], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,296626117,2024-06-07,Casey,145.23350344138578,-38.130265952562574,Cranbourne South,Cranbourne Gardens,3977,345175,5778259,MGA2020 Zone 55,41688,Hikari Crescent Cranbourne South 3977,,Hikari Crescent
"-38.1095757116, 145.2479831714","{""coordinates"": [145.2479831714, -38.1095757116], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,296642917,2024-06-07,Casey,145.2479831713562,-38.10957571163068,Cranbourne West,Quarters,3977,346401,5780579,MGA2020 Zone 55,41702,Reserved Roper Cranbourne West 3977,,Reserved Roper
"-38.0996893786, 145.3768514938","{""coordinates"": [145.3768514938, -38.0996893786], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,294141319,2024-06-07,Casey,145.3768514938416,-38.09968937860614,Clyde North,Dillwynia,3978,357680,5781881,MGA2020 Zone 55,41710,Ecurb Street Clyde North 3978,,Ecurb Street
