geo_coordinates
"[-37.812884999737754, 144.98898300029998]"
"[-37.81288100018697, 144.98906699958857]"
"[-37.812887000043524, 144.98911200026362]"
"[-37.82011700012181, 144.9507899999857]"
"[-37.819166999720565, 144.94724700031887]"
"[-37.81911699985047, 144.94718900017287]"
"[-37.813740000033064, 144.94213200048887]"
"[-37.813766000324755, 144.94215899987515]"
"[-37.813580000042975, 144.94184999974925]"
"[-37.81358400014268, 144.9418569995987]"
"[-37.81344099989329, 144.9417250000971]"
"[-37.802294000008, 144.96590199975492]"
"[-37.802292000007384, 144.96592399986523]"
"[-37.802543999528936, 144.96579000028507]"
"[-37.81401399970823, 144.9425580005068]"
"[-37.81408800021958, 144.94277100010345]"
"[-37.80231200015153, 144.96600999980728]"
"[-37.80231600003207, 144.9660250002836]"
"[-37.80251099955116, 144.96609100054252]"
"[-37.802514000163875, 144.96608899991168]"
"[-37.80256100009715, 144.96596200025076]"
"[-37.802930999556956, 144.96562500037183]"
"[-37.802902000250235, 144.9655760004151]"
"[-37.80289300025595, 144.96555300037735]"
"[-37.803188999782, 144.96600100034064]"
"[-37.80318399973659, 144.9659929996727]"
"[-37.80309999998939, 144.96584900035765]"
"[-37.80266199997665, 144.9653170001778]"
"[-37.80275399972918, 144.96608699966268]"
"[-37.80275699973809, 144.96610499997632]"
"[-37.81868099983015, 144.94946300025828]"
"[-37.80285799974314, 144.9654850001296]"
"[-37.802815000345035, 144.9654170002596]"
"[-37.802687000074194, 144.96530300055824]"
"[-37.81880700036367, 144.9495039995507]"
"[-37.80270700012116, 144.9656250002762]"
"[-37.802751999914335, 144.9660380005614]"
"[-37.82002699990155, 144.95082500024444]"
"[-37.81880700028703, 144.94951600041293]"
"[-37.81881299969197, 144.94955399994]"
"[-37.81882900006923, 144.94958499977736]"
"[-37.81903100016048, 144.94987099950458]"
"[-37.820801000148656, 144.951488999787]"
"[-37.81926099981122, 144.96423699967576]"
"[-37.819243000090744, 144.9645480002916]"
"[-37.819576000216735, 144.9631590005446]"
"[-37.818391000331616, 144.97358300016907]"
"[-37.81833200000088, 144.97508100038544]"
"[-37.81832999960332, 144.97507199990167]"
"[-37.818351999604396, 144.97439800015283]"
"[-37.81838599967735, 144.97374799961963]"
